JugadorX,JugadorY,ObstaculoX,ObstaculoY,Velocidad,DistanciaX,Izquierda,Quieto,Derecha
275,350,199,220,10,76,0,1,0
275,350,199,230,10,76,0,1,0
275,350,199,240,10,76,0,1,0
275,350,199,250,10,76,0,1,0
275,350,199,260,10,76,0,1,0
275,350,199,270,10,76,0,1,0
275,350,199,280,10,76,0,1,0
275,350,199,290,10,76,0,1,0
275,350,199,300,10,76,0,1,0
275,350,199,310,10,76,0,1,0
275,350,199,320,10,76,0,1,0
275,350,199,330,10,76,0,1,0
275,350,199,340,10,76,0,1,0
275,350,199,350,10,76,0,1,0
275,350,199,360,10,76,0,1,0
275,350,199,370,10,76,0,1,0
275,350,199,380,10,76,0,1,0
275,350,199,390,10,76,0,1,0
275,350,199,400,10,76,0,1,0
275,350,474,0,10,199,0,1,0
275,350,474,10,10,199,0,1,0
275,350,474,20,10,199,0,1,0
275,350,474,30,10,199,0,1,0
275,350,474,40,10,199,0,1,0
275,350,474,50,10,199,0,1,0
275,350,474,60,10,199,0,1,0
275,350,474,70,10,199,0,1,0
275,350,474,80,10,199,0,1,0
275,350,474,90,10,199,0,1,0
275,350,474,100,10,199,0,1,0
275,350,474,110,10,199,0,1,0
275,350,474,120,10,199,0,1,0
275,350,474,130,10,199,0,1,0
275,350,474,140,10,199,0,1,0
275,350,474,150,10,199,0,1,0
275,350,474,160,10,199,0,1,0
275,350,474,170,10,199,0,1,0
275,350,474,180,10,199,0,1,0
275,350,474,190,10,199,0,1,0
275,350,474,200,10,199,0,1,0
275,350,474,210,10,199,0,1,0
275,350,474,220,10,199,0,1,0
275,350,474,230,10,199,0,1,0
275,350,474,240,10,199,0,1,0
265,350,474,250,10,209,1,0,0
255,350,474,260,10,219,1,0,0
245,350,474,270,10,229,1,0,0
235,350,474,280,10,239,1,0,0
235,350,474,290,10,239,0,1,0
235,350,474,300,10,239,0,1,0
235,350,474,310,10,239,0,1,0
225,350,474,320,10,249,1,0,0
215,350,474,330,10,259,1,0,0
205,350,474,340,10,269,1,0,0
205,350,474,350,10,269,0,1,0
205,350,474,360,10,269,0,1,0
205,350,474,370,10,269,0,1,0
205,350,474,380,10,269,0,1,0
205,350,474,390,10,269,0,1,0
205,350,474,400,10,269,0,1,0
205,350,130,0,10,75,0,1,0
205,350,130,10,10,75,0,1,0
205,350,130,20,10,75,0,1,0
205,350,130,30,10,75,0,1,0
205,350,130,40,10,75,0,1,0
205,350,130,50,10,75,0,1,0
205,350,130,60,10,75,0,1,0
205,350,130,70,10,75,0,1,0
205,350,130,80,10,75,0,1,0
195,350,130,90,10,65,1,0,0
185,350,130,100,10,55,1,0,0
175,350,130,110,10,45,1,0,0
165,350,130,120,10,35,1,0,0
165,350,130,130,10,35,0,1,0
165,350,130,140,10,35,0,1,0
165,350,130,150,10,35,0,1,0
165,350,130,160,10,35,0,1,0
165,350,130,170,10,35,0,1,0
155,350,130,180,10,25,1,0,0
145,350,130,190,10,15,1,0,0
145,350,130,200,10,15,0,1,0
145,350,130,210,10,15,0,1,0
145,350,130,220,10,15,0,1,0
145,350,130,230,10,15,0,1,0
135,350,130,240,10,5,1,0,0
125,350,130,250,10,5,1,0,0
115,350,130,260,10,15,1,0,0
115,350,130,270,10,15,0,1,0
115,350,130,280,10,15,0,1,0
115,350,130,290,10,15,0,1,0
115,350,130,300,10,15,0,1,0
275,350,338,0,10,63,0,1,0
275,350,338,10,10,63,0,1,0
275,350,338,20,10,63,0,1,0
275,350,338,30,10,63,0,1,0
275,350,338,40,10,63,0,1,0
275,350,338,50,10,63,0,1,0
275,350,338,60,10,63,0,1,0
275,350,338,70,10,63,0,1,0
275,350,338,80,10,63,0,1,0
275,350,338,90,10,63,0,1,0
275,350,338,100,10,63,0,1,0
275,350,338,110,10,63,0,1,0
275,350,338,120,10,63,0,1,0
275,350,338,130,10,63,0,1,0
275,350,338,140,10,63,0,1,0
275,350,338,150,10,63,0,1,0
275,350,338,160,10,63,0,1,0
275,350,338,170,10,63,0,1,0
275,350,338,180,10,63,0,1,0
275,350,338,190,10,63,0,1,0
275,350,338,200,10,63,0,1,0
275,350,338,210,10,63,0,1,0
275,350,338,220,10,63,0,1,0
275,350,338,230,10,63,0,1,0
275,350,338,240,10,63,0,1,0
275,350,338,250,10,63,0,1,0
275,350,338,260,10,63,0,1,0
275,350,338,270,10,63,0,1,0
275,350,338,280,10,63,0,1,0
275,350,338,290,10,63,0,1,0
